imgLink,title,author,descp,novelLink
https://www.biquge7.top//imgs/50049.jpg,夜的命名术,会说话的肘子,蓝与紫的霓虹中，浓密的钢铁苍穹下，数据洪流的前端，是科技革命之后的世界，也是现实与虚幻的分界。    钢铁与身体，过去与未来。这里，表世界与里世界并存，面前的一切，像是时间之墙近在眼前。    黑暗逐渐笼罩。可你要明白啊我的朋友，我们不能用温柔去应对黑暗，要用火。,https://www.biquge7.top/50049
https://www.biquge7.top//imgs/50043.jpg,深空彼岸,辰东,浩瀚的宇宙中，一片星系的生灭，也不过是刹那的斑驳流光。仰望星空，总有种结局已注定的伤感，千百年后你我在哪里？    家国，文明火光，地球，都不过是深空中的一粒尘埃。星空一瞬，人间千年。    虫鸣一世不过秋，你我一样在争渡。深空尽头到底有什么？,https://www.biquge7.top/50043
https://www.biquge7.top//imgs/50046.jpg,星门,老鹰吃小鸡,传说，在那古老的星空深处，伫立着一道血与火侵染的红色之门。传奇与神话，黑暗与光明，无尽传说皆在这古老的门户中流淌。    俯瞰星门，热血照耀天地，黑暗终将离去！,https://www.biquge7.top/50046
https://www.biquge7.top//imgs/50047.jpg,明克街13号,纯洁滴小龙,我喜欢坐在夜晚空无一人的大街上，听着    “他们”的窃窃私语，享受着    “他们”的喧嚣。,https://www.biquge7.top/50047
https://www.biquge7.top//imgs/50045.jpg,万相之王,天蚕土豆,天地间，有万相。 而我李洛，终将成为这万相之王。 继《斗破苍穹》《武动乾坤》《大主宰》《元尊》之后，天蚕土豆又一部玄幻力作。,https://www.biquge7.top/50045
https://www.biquge7.top//imgs/49972.jpg,剑来,烽火戏诸侯,大千世界，无奇不有。我陈平安，唯有一剑，可搬山，倒海，降妖，镇魔，敕神，摘星，断江，摧城，开天！,https://www.biquge7.top/49972
https://www.biquge7.top//imgs/50267.jpg,诸界第一因,裴屠狗,大争之世，人命如草，王朝末年，烽火四起。    群雄割据，大灾连年，繁华天下一时百里无人烟，千里无鸡鸣。    而在这乱世之上，尘世之外，更有那逝去的即将归来。    他们或是传说，或是神话……    逢此大世，边陲小城中，杨狱抬头，只见乌云滚滚，暴雨将至。    …………    已有老书《诸天投影》《大道纪》，喜欢的朋友可以去看看。,https://www.biquge7.top/50267
https://www.biquge7.top//imgs/50044.jpg,斗罗大陆V重生唐三,唐家三少,一代神王重生于神奇的法蓝世界，他惊讶的发现，这里的一切都是如此的奇妙，他更是运气绝佳的找到了妻子的转世身。    可是，她没有前世的记忆，再次相遇已是路人。一代神王重生在这对人类并不友好的世界中，能否重新追回妻子。    千奇百怪的妖神变又会带给他怎样的重生之路？尽在一代神王至情追妻之旅，斗罗大陆第五部，重生唐三！,https://www.biquge7.top/50044
https://www.biquge7.top//imgs/49936.jpg,诡秘之主,爱潜水的乌贼,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？    我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段    “愚者”的传说。,https://www.biquge7.top/49936
https://www.biquge7.top//imgs/49946.jpg,万古神帝(张若尘池瑶),飞天鱼,八百年前，明帝之子张若尘，被他的未婚妻池瑶公主杀死，一代无上天骄，就此陨落。    八百年后，张若尘重新活了过来，却发现曾经杀死他的未婚妻，已经统一昆仑界，开辟出第一中央帝国，号称“池瑶女皇”。,https://www.biquge7.top/49946
https://www.biquge7.top//imgs/50063.jpg,开局签到荒古圣体,J神,【不废柴，不舔狗，天骄争霸暴爽无敌流】    君逍遥穿越玄幻世界，成为荒古世家神子，拥有无敌背景，惊世天赋，更得到签到系统，开局签到一具大成荒古圣体。    在泰岳古碑签到，获得六星奖励，神象镇狱劲！    在十岁宴上签到，获得七星奖励，至尊骨！    在青铜仙殿签到，获得八星奖励，万物母气鼎！    在无边界海签到，获得十星奖励，他化自在大法！    无数年后，君逍遥盘坐九霄，剑指苍天道：“九天十地，我主沉浮，仙路尽头，我为巅峰！”,https://www.biquge7.top/50063
https://www.biquge7.top//imgs/49933.jpg,一剑独尊(叶玄叶灵),青鸾峰上,生死看淡，不服就干。诸天神佛仙，不过一剑间！ ……,https://www.biquge7.top/49933
https://www.biquge7.top//imgs/50125.jpg,天启预报,风月,“我想要挨一顿毒打，请问这里有漂亮小姐姐吗？没有的话我等会再问一次……”    ——灾厄之剑、旧世界守墓人、调律师、最后的天国捍卫者、天文会金牌牛郎、二十四个毁灭因素之一、淮海路小佩奇、深渊烈日、最终的地狱之王：槐诗。    .    某一天，穷困潦倒的槐诗忽然发现自己捡来的金手指终于能用了……只不过，这似乎并不是一件好事。    为了赚钱和苟命，他一不小心踏入了这个危险世界。    现境之外的边境，日常之后的异常。    理想国、统辖局、存续院以及高踞于顶峰之上的天文会，绿日、黄金黎明、存世余孽与诸界天敌……    究竟是生存还是灭亡？    这是个问题。    那么，就在这一万零一种拯救世界的方法中，选一个通往HAPPYEND的方向吧。,https://www.biquge7.top/50125
https://www.biquge7.top//imgs/49922.jpg,沧元图,我吃西红柿,我叫孟川，今年十五岁，是东宁府    “镜湖道院”的当代大师兄。,https://www.biquge7.top/49922
https://www.biquge7.top//imgs/34819.jpg,斗破苍穹,天蚕土豆,"这里是属于斗气的世界，没有花俏艳丽的魔法，有的，仅仅是繁衍到巅峰的斗气！
    新书刚开，请各位兄弟多多支持，用推荐票和收藏，砸烂偶吧.^_^
    新书等级制度：斗者，斗师，大斗师，斗灵，斗王，斗皇，斗宗，斗尊，斗圣，斗帝。
",https://www.biquge7.top/34819
https://www.biquge7.top//imgs/34806.jpg,斗罗大陆,唐家三少,"唐门外门弟子唐三，因偷学内门绝学为唐门所不容，跳崖明志时却发现没有死，反而以另外一个身份来到了另一个世界，一个属于武魂的世界，名叫斗罗大陆。这里没有魔法，没有斗气，没有武术，却有神奇的武魂。这里的每个人，在自己六岁的时候，都会在武魂殿中令武魂觉醒。武魂有动物，有植物，有器物，武魂可以辅助人们的日常生活。而其中一些特别出色的武魂却可以用来修炼并进行战斗，这个职业，是斗罗大陆上最为强大也是最荣耀的职业——魂师!
　　当唐门暗器来到斗罗大陆，当唐三武魂觉醒，他能否在这片武魂的世界再铸唐门的辉煌？他能否成为这个世界的主宰：神?",https://www.biquge7.top/34806
https://www.biquge7.top//imgs/49918.jpg,第一序列,会说话的肘子,诸位，我是会说话的肘子，我回来了。这是一个新的故事。,https://www.biquge7.top/49918
https://www.biquge7.top//imgs/34812.jpg,重生之将门毒后,千山茶客,"将门嫡女，贞静柔婉，痴恋定王，自奔为眷。    六年辅佐，终成母仪天下。    陪他打江山，兴国土，涉险成为他国人质，五年归来，后宫已无容身之所。    他怀中的美人笑容明艳：“姐姐，江山定了，你也该退了。”    女儿惨死，太子被废。沈家满门忠烈，无一幸免。一朝倾覆，子丧族亡！    沈妙怎么也没想到，患难夫妻，相互扶持，不过是一场逢场作戏的笑话！    他道：“看在你跟了朕二十年，赐你全尸，谢恩吧。”    三尺白绫下，沈妙立下毒誓：是日何时丧，予与汝皆亡！    重生回十四岁那年，悲剧未生，亲人还在，她还是那个温柔雅静的将门嫡女。    极品亲戚包藏祸心，堂姐堂妹恶毒无情，新进姨娘虎视眈眈，还有渣男意欲故技重来？    家族要护，大仇要报，江山帝位，也要分一杯羹。这辈子，且看谁斗得过谁！    但是那谢家小侯爷，提枪打马过的桀骜少年，偏立在她墙头傲然：“颠个皇权罢了，记住，天下归你，你——归我！”    gt;    ——幽州十三京。    ——归你。    ——漠北定元城。    ——归你。    ——江南豫州，定西东海，临安青湖，洛阳古城。    ——都归你。    ——全都归我，谢景行你要什么？    ——嗯，你。    gt;    最初他漠然道：“沈谢两家泾渭分明，沈家丫头突然示好，不怀好意！”    后来他冷静道：“都是一条绳上的蚂蚱，沈妙你安分点，有本候担着，谁敢逼你嫁人？”    再后来他傲娇道：“颠个乾坤不过如此。沈娇娇，万里江山，你我二人瓜分如何？”    最后，他霸气的把手一挥：“媳妇，分来分去甚麻烦，不分了！全归你，你归我！”    沈妙：“给本宫滚出去！”霸气重生的皇后凉凉和不良少年谢小候爷，男女主身心干净，强强联手，宠文一对一。请各位小天使多多支持哦~    /br各位书友要是觉得《重生之将门毒后》还不错的话请不要忘记向您QQ群和微博里的朋友推荐哦！重生之将门毒后最新章节,重生之将门毒后无弹窗,重生之将门毒后全文阅读.    ...",https://www.biquge7.top/34812
https://www.biquge7.top//imgs/50381.jpg,公子别秀,荣小荣,林秀一觉醒来，世界已经截然不同。有人力拔山兮，扛峰举鼎；有人举目千里，一览无遗；有人御风而行，逍遥天地；有人隐形匿迹，来去无踪……秀就完了。,https://www.biquge7.top/50381
https://www.biquge7.top//imgs/49906.jpg,武炼巅峰,莫默,武之巅峰，是孤独，是寂寞，是漫漫求索，是高处不胜寒    逆境中成长，绝地里求生，不屈不饶，才能堪破武之极道。    凌霄阁试炼弟子兼扫地小厮杨开偶获一本无字黑书，从此踏上漫漫武道。友情提示：这是一个持久的男人的故事，这也是一个淫者见淫，智者见智的故事。    做男人，当持久！新书上传，各种求啊！,https://www.biquge7.top/49906
https://www.biquge7.top//imgs/49914.jpg,神道丹尊,孤单地飞(书坊),绝世强者、一代丹帝凌寒为追求成神之路而殒落，万年后携《不灭天经》重生于同名少年，从此风云涌动，与当世无数天才争锋，重启传奇之路，万古诸天我最强！,https://www.biquge7.top/49914
https://www.biquge7.top//imgs/49920.jpg,大主宰,天蚕土豆,大千世界，位面交汇，万族林立，群雄荟萃，一位位来自下位面的天之至尊，在这无尽世界，演绎着令人向往的传奇，追求着那主宰之路。    无尽火域，炎帝执掌，万火焚苍穹。    武境之内，武祖之威，震慑乾坤。    西天之殿，百战之皇，战威无可敌。    北荒之丘，万墓之地，不死之主镇天地。    ......    少年自北灵境而出，骑九幽冥雀，闯向了那精彩绝伦的纷纭世界，主宰之路，谁主沉浮？    大千世界，万道争锋，吾为大主宰。    ..................    ps:请领取了天蚕土豆之光的读者进入天府神光群262254501    PS：再请大家收藏与推荐本书，谢谢。,https://www.biquge7.top/49920
https://www.biquge7.top//imgs/36013.jpg,天珠变,唐家三少,人有本命珠，觉醒后或为意珠、或为体珠，如手串分别在左右手腕处盘旋。天珠如人类之双胞胎，当意、体双珠同时出现在一个人身上的时候，即为天珠。修炼体珠者是为体珠师，修炼意珠者是为意珠师，而修炼天珠者自然即是天珠师。天珠师最高为十二双珠，因此，它的修炼过程也被称之为：天珠十二变。我们的主角就是一位修炼着天珠变的弓箭手。    所以，这是一个天珠弓箭手征战世界的故事。,https://www.biquge7.top/36013
https://www.biquge7.top//imgs/50237.jpg,剑道第一仙,萧瑾瑜,我是万古人间一剑修，诸天之上第一仙。已有完本作品《符皇》《天骄战纪》公众号：xiaojinyu233,https://www.biquge7.top/50237
https://www.biquge7.top//imgs/34836.jpg,完美世界,辰东,一粒尘可填海，一根草斩尽日月星辰，弹指间天翻地覆。    群雄并起，万族林立，诸圣争霸，乱天动地。问苍茫大地，谁主沉浮？！    一个少年从大荒中走出，一切从这里开始……,https://www.biquge7.top/34836
https://www.biquge7.top//imgs/50090.jpg,牧龙师,乱,这片大陆上任何生灵都有几率化龙。传言每个生命都有自己的一道龙门，跃过之后，宛如苍穹日月，耀眼辉煌。    人也是如此。人的龙门就在于化身牧龙师。四处找寻那些即将化龙的小幼灵，将它们驯养成当世无双的龙王！,https://www.biquge7.top/50090
https://www.biquge7.top//imgs/49915.jpg,武道至尊,暗夜幽殇,神武血脉，君临天下，金刚之身，问鼎苍穹！    仗剑四方，笑傲苍天，神挡杀神，佛阻灭佛！,https://www.biquge7.top/49915
https://www.biquge7.top//imgs/49907.jpg,斗罗大陆III龙王传说,唐家三少,伴随着魂导科技的进步，斗罗大陆上的人类征服了海洋，又发现了两片大陆。魂兽也随着人类魂师的猎杀无度走向灭亡，沉睡无数年的魂兽之王在星斗大森林最后的净土苏醒，它要带领仅存的族人，向人类复仇！    唐舞麟立志要成为一名强大的魂师，可当武魂觉醒时，苏醒的，却是……    旷世之才，龙王之争，我们的龙王传说，将由此开始。,https://www.biquge7.top/49907
https://www.biquge7.top//imgs/49913.jpg,至尊剑皇,半步沧桑,古幽大陆，万族林立，一个小镇中的少年，坠崖重生，掀起一场惊动千古的浪潮。,https://www.biquge7.top/49913
https://www.biquge7.top//imgs/34816.jpg,雪中悍刀行,烽火戏诸侯,有个白狐儿脸，佩双刀绣冬春雷，要做那天下第一。湖底有白发老魁爱吃荤。缺门牙老仆背剑匣。山上有个骑青牛的年轻师叔祖，不敢下山。有个骑熊猫扛向日葵不太冷的少女杀手。,https://www.biquge7.top/34816
